NE16 STC,Sengkang,盛港,செங்காங்,20 June 2003,Sengkang,SKG,Sengkang,Sengkang LRT ― Sengkang
NE17 PTC,Punggol,榜鹅,பொங்கோல்,20 June 2003,Punggol,PGL,Punggol,Punggol LRT ― Punggol
CC1 NS24 NE6,Dhoby Ghaut,多美歌,டோபி காட்,17 April 2010,Dhoby Ghaut,DBG,Museum Planning Area,North South Line  North East Line
CC2,Bras Basah,百胜,பிராஸ் பாசா,17 April 2010,Museum / Bras Basah,BBS,Museum Planning Area,—
CC3,Esplanade,滨海中心,எஸ்பிளனேட்,17 April 2010,"Convention Centre, Esplanade / Suntec",EPN,Downtown Core,—
CC4 DT15,Promenade,宝门廊,புரொமனாட்,17 April 2010,"Millenia, Promenade / Marina Centre / Sheares",PMN,Downtown Core,Downtown Line ― Marina Centre
CC5,Nicoll Highway,尼诰大道,நிக்கல் நெடுஞ்சாலை,17 April 2010,Nicoll Highway / Kampong Glam,NCH,Downtown Core[a],—
CC6,Stadium,体育场,ஸ்டேடியம்,17 April 2010,"Boulevard, Stadium / Tanjong Rhu",SDM,Kallang,—
CC7,Mountbatten,蒙巴登,மவுண்ட்பேட்டன்,17 April 2010,Old Airport Road / Mountbatten,MBT,"Geylang, Kallang",—
CC8,Dakota,达科达,டகோட்டா,17 April 2010,"Tanjong Katong, Dakota / Dunman",DKT,Geylang,—
CC9 EW8,Paya Lebar,巴耶利峇,பாய லேபார்,17 April 2010,Paya Lebar,PYL,Geylang,East West Line
CC10 DT26,MacPherson,麦波申,மெக்பர்சன்,17 April 2010,MacPherson / Ubi,MPS,Geylang,Downtown Line
CC11,Tai Seng,大成,தை செங்,17 April 2010,Upper Paya Lebar / Tai Seng / Kim Chuan,TSG,"Hougang, Toa Payoh",—
CC12,Bartley,巴特礼,பார்ட்லி,28 May 2009,Bartley / How Sun,BLY,"Serangoon, Toa Payoh",—
CC13 NE12,Serangoon,实龙岗,சிராங்கூன்,28 May 2009,Serangoon,SER,Serangoon,North East Line ― Serangoon
CC14,Lorong Chuan,罗弄泉,லோரோங் சுவான்,28 May 2009,Lorong Chuan / Mei Hwan,LRC,Serangoon,—
CC15 NS17,Bishan,碧山,பீஷான்,28 May 2009,Bishan,BSH,Bishan,North South Line ― Bishan
CC16,Marymount,玛丽蒙,மேரிமவுண்ட்,28 May 2009,Marymount / Shunfu,MRM,Bishan,—
CC17 TE9,Caldecott,加利谷,கால்டிகாட்,8 October 2011,Thomson / Caldecott,CDT,Toa Payoh,Thomson–East Coast Line
CC19 DT9,Botanic Gardens • Kebun Bunga,植物园,பூ மலை,8 October 2011,"Adam, Botanic Gardens / Cluny Road",BTN,Tanglin,Downtown Line
CC20,Farrer Road,花拉路,ஃபேரர் சாலை,8 October 2011,"Farrer, Farrer Road / Woollerton",FRR,"Bukit Timah, Tanglin",—
CC21,Holland Village,荷兰村,ஹாலந்து வில்லேஜ்,8 October 2011,"Holland, Holland Village / Chip Bee",HLV,"Bukit Timah, Queenstown",—
CC22 EW21,Buona Vista,波那维斯达,புவன விஸ்தா,8 October 2011,Buona Vista,BNV,Queenstown,East West Line ― Buona Vista Ghim Moh
CC23,one-north,纬壹,ஒன்-நார்த்,8 October 2011,one-north / Portsdown / Ayer Rajah,ONH,Queenstown,—
CC24,Kent Ridge,肯特岗,கெண்ட் ரிஜ்,8 October 2011,National University Hospital / Kent Ridge,KRG,Queenstown,—
CC25,Haw Par Villa,虎豹别墅,ஹா பர் வில்லா,8 October 2011,West Coast / Haw Par Villa,HPV,Queenstown,—
CC26,Pasir Panjang,巴西班让,பாசிர் பாஞ்சாங்,8 October 2011,Pasir Panjang / Bukit Chandu,PPJ,Queenstown,—
CC27,Labrador Park,拉柏多公园,லாப்ரடார் பூங்கா,8 October 2011,Alexandra / Tanjong Berlayar,LBD,Bukit Merah,—
